date,geography,geography code,Welsh writing ability: Total: All usual residents aged 3 years and over,Welsh writing ability: Cannot write Welsh,Welsh writing ability: Can write Welsh
2021,Pembrokeshire 010A,W01000587,1935,1805,130
2021,Pembrokeshire 010B,W01000588,2259,2094,165
2021,Pembrokeshire 012A,W01000589,1106,1059,47
2021,Pembrokeshire 012B,W01000590,1110,1064,46
2021,Pembrokeshire 012C,W01000591,1587,1503,84
2021,Pembrokeshire 012D,W01000592,1280,1195,85
2021,Pembrokeshire 012E,W01000594,2103,1972,131
2021,Pembrokeshire 007C,W01000595,2300,1901,399
2021,Pembrokeshire 007D,W01000596,1677,1428,249
2021,Pembrokeshire 002E,W01000597,1038,702,336
2021,Pembrokeshire 009C,W01000598,2109,1982,127
2021,Pembrokeshire 009D,W01000599,1948,1822,126
2021,Pembrokeshire 013A,W01000600,1559,1460,99
2021,Pembrokeshire 013B,W01000601,1462,1390,72
2021,Pembrokeshire 013C,W01000602,1184,1100,84
2021,Pembrokeshire 013D,W01000603,1754,1651,103
2021,Pembrokeshire 013E,W01000604,1654,1559,95
2021,Pembrokeshire 013F,W01000605,1743,1644,99
2021,Pembrokeshire 015B,W01000606,1602,1535,67
2021,Pembrokeshire 015C,W01000607,2375,2194,181
2021,Pembrokeshire 015D,W01000608,1392,1292,100
2021,Pembrokeshire 014D,W01000609,2375,2199,176
2021,Pembrokeshire 016A,W01000610,1676,1487,189
2021,Pembrokeshire 004C,W01000611,2042,1768,274
2021,Pembrokeshire 003C,W01000612,1733,1419,314
2021,Pembrokeshire 001E,W01000613,2011,1308,703
2021,Pembrokeshire 008D,W01000614,1353,1227,126
2021,Pembrokeshire 002F,W01000617,1485,1133,352
2021,Pembrokeshire 003D,W01000618,1685,1421,264
2021,Pembrokeshire 016B,W01000619,1959,1765,194
2021,Pembrokeshire 008E,W01000622,1392,1257,135
2021,Pembrokeshire 004D,W01000623,1961,1638,323
2021,Carmarthenshire 005A,W01000624,2280,1186,1094
2021,Carmarthenshire 013A,W01000625,1087,745,342
2021,Carmarthenshire 013B,W01000626,1572,1005,567
2021,Carmarthenshire 013C,W01000627,2324,1415,909
2021,Carmarthenshire 024A,W01000628,1492,1208,284
2021,Carmarthenshire 024B,W01000629,1596,1317,279
2021,Carmarthenshire 024C,W01000630,1530,1256,274
2021,Carmarthenshire 024D,W01000631,1765,1590,175
2021,Carmarthenshire 021A,W01000632,1306,974,332
2021,Carmarthenshire 021B,W01000633,1383,1110,273
2021,Carmarthenshire 021C,W01000634,1273,963,310
2021,Carmarthenshire 025A,W01000635,2329,1830,499
2021,Carmarthenshire 025B,W01000636,2268,1807,461
2021,Carmarthenshire 007A,W01000637,1336,998,338
2021,Carmarthenshire 007B,W01000638,1101,877,224
2021,Carmarthenshire 007C,W01000639,1457,1059,398
2021,Carmarthenshire 007D,W01000640,1187,748,439
2021,Carmarthenshire 008A,W01000641,1998,1509,489
2021,Carmarthenshire 008B,W01000642,1714,1220,494
2021,Carmarthenshire 006A,W01000643,1620,1307,313
2021,Carmarthenshire 006B,W01000644,1812,1221,591
2021,Carmarthenshire 006C,W01000645,1898,1315,583
2021,Carmarthenshire 003A,W01000646,2077,1311,766
2021,Carmarthenshire 002A,W01000647,1394,905,489
2021,Carmarthenshire 006D,W01000648,1393,797,596
2021,Carmarthenshire 006E,W01000649,1506,850,656
2021,Carmarthenshire 002B,W01000650,1521,948,573
2021,Carmarthenshire 020A,W01000651,1465,1149,316
2021,Carmarthenshire 020B,W01000652,1732,1445,287
2021,Carmarthenshire 023A,W01000653,1427,1043,384
2021,Carmarthenshire 023B,W01000654,1618,1322,296
2021,Carmarthenshire 020C,W01000655,1849,1474,375
2021,Carmarthenshire 010A,W01000656,1987,1208,779
2021,Carmarthenshire 010B,W01000657,1130,709,421
2021,Carmarthenshire 010C,W01000658,1286,797,489
2021,Carmarthenshire 026A,W01000659,1713,1477,236
2021,Carmarthenshire 026B,W01000660,1445,1252,193
2021,Carmarthenshire 016A,W01000662,2107,1158,949
2021,Carmarthenshire 016B,W01000663,2402,1162,1240
2021,Carmarthenshire 016C,W01000664,2508,1340,1168
2021,Carmarthenshire 017A,W01000665,1768,1213,555
2021,Carmarthenshire 017B,W01000666,1596,1135,461
2021,Carmarthenshire 023C,W01000667,2039,1495,544
2021,Carmarthenshire 018A,W01000670,1532,1134,398
2021,Carmarthenshire 018B,W01000671,2086,1485,601
2021,Carmarthenshire 027E,W01000672,1464,1228,236
2021,Carmarthenshire 027F,W01000673,1082,896,186
2021,Carmarthenshire 027A,W01000674,2044,1212,832
2021,Carmarthenshire 012A,W01000675,2021,1030,991
2021,Carmarthenshire 004A,W01000676,1488,902,586
2021,Carmarthenshire 004B,W01000677,1411,942,469
2021,Carmarthenshire 002C,W01000678,1345,979,366
2021,Carmarthenshire 002D,W01000679,1206,829,377
2021,Carmarthenshire 011A,W01000680,2248,1352,896
2021,Carmarthenshire 011B,W01000681,2020,1222,798
2021,Carmarthenshire 005B,W01000682,1363,659,704
2021,Carmarthenshire 005C,W01000683,1039,726,313
2021,Carmarthenshire 005D,W01000684,1715,1060,655
2021,Carmarthenshire 001A,W01000685,1502,841,661
2021,Carmarthenshire 001B,W01000686,1188,584,604
2021,Carmarthenshire 004C,W01000687,1906,1138,768
2021,Carmarthenshire 003B,W01000688,1657,978,679
2021,Carmarthenshire 003C,W01000689,1696,959,737
2021,Carmarthenshire 019A,W01000690,1729,1162,567
2021,Carmarthenshire 019B,W01000691,1800,1326,474
2021,Carmarthenshire 019C,W01000692,1498,1055,443
2021,Carmarthenshire 008C,W01000693,1101,680,421
2021,Carmarthenshire 008D,W01000694,1464,891,573
2021,Carmarthenshire 012B,W01000695,2162,1384,778
2021,Carmarthenshire 012C,W01000696,1609,871,738
2021,Carmarthenshire 015A,W01000697,1876,1000,876
2021,Carmarthenshire 015B,W01000698,1908,999,909
2021,Carmarthenshire 015C,W01000699,1434,818,616
2021,Carmarthenshire 027G,W01000700,1938,1326,612
2021,Carmarthenshire 001C,W01000701,1566,873,693
2021,Carmarthenshire 001D,W01000702,1149,653,496
2021,Carmarthenshire 022A,W01000703,1719,1403,316
2021,Carmarthenshire 022B,W01000704,1609,1186,423
2021,Carmarthenshire 022C,W01000705,1852,1504,348
2021,Carmarthenshire 025C,W01000706,1505,1243,262
2021,Carmarthenshire 025D,W01000707,1392,1112,280
2021,Carmarthenshire 025E,W01000708,1329,1133,196
2021,Carmarthenshire 004D,W01000709,2144,1325,819
2021,Carmarthenshire 021D,W01000710,2124,1512,612
2021,Carmarthenshire 021E,W01000711,1975,1634,341
2021,Carmarthenshire 015D,W01000712,1643,917,726
2021,Carmarthenshire 015E,W01000713,1329,737,592
2021,Carmarthenshire 013D,W01000714,1377,932,445
2021,Carmarthenshire 013E,W01000715,1252,743,509
2021,Carmarthenshire 016D,W01000716,1371,667,704
2021,Carmarthenshire 016E,W01000717,1406,710,696
2021,Carmarthenshire 010D,W01000718,1361,702,659
2021,Carmarthenshire 010E,W01000719,1404,750,654
2021,Carmarthenshire 027B,W01000720,1770,1089,681
2021,Carmarthenshire 027C,W01000721,1355,836,519
2021,Carmarthenshire 012D,W01000722,1321,753,568
2021,Carmarthenshire 012E,W01000723,1344,929,415
2021,Carmarthenshire 011C,W01000724,1889,1220,669
2021,Carmarthenshire 011D,W01000725,2262,1424,838
2021,Carmarthenshire 003D,W01000728,2022,1246,776
2021,Carmarthenshire 018C,W01000729,1198,728,470
2021,Carmarthenshire 018D,W01000730,1234,856,378
2021,Carmarthenshire 017C,W01000731,2337,1619,718
2021,Carmarthenshire 026D,W01000732,1263,1081,182
2021,Carmarthenshire 026E,W01000733,1156,1003,153
2021,Carmarthenshire 026F,W01000734,1343,1142,201
2021,Carmarthenshire 027D,W01000735,2318,1647,671
2021,Swansea 028A,W01000736,1720,1553,167
2021,Swansea 028B,W01000737,1452,1321,131
2021,Swansea 014A,W01000738,1660,1568,92
2021,Swansea 014B,W01000739,2152,2008,144
2021,Swansea 014C,W01000740,1524,1429,95
2021,Swansea 014D,W01000741,1798,1666,132
2021,Swansea 016A,W01000742,1604,1519,85
2021,Swansea 016B,W01000744,1472,1387,85
2021,Swansea 025B,W01000745,2405,2245,160
2021,Swansea 025C,W01000746,1377,1283,94
2021,Swansea 024A,W01000747,1552,1434,118
2021,Swansea 026A,W01000749,1951,1815,136
2021,Swansea 002A,W01000750,1415,1171,244
2021,Swansea 002B,W01000751,1366,1080,286
2021,Swansea 002C,W01000752,1427,1272,155
2021,Swansea 002D,W01000753,1382,1175,207
2021,Swansea 002E,W01000754,1512,1287,225
2021,Swansea 017A,W01000755,1919,1778,141
2021,Swansea 017B,W01000756,1428,1310,118
2021,Swansea 017C,W01000757,1394,1294,100
2021,Swansea 017D,W01000758,1842,1653,189
2021,Swansea 012A,W01000759,1506,1370,136
2021,Swansea 013A,W01000760,1527,1372,155
2021,Swansea 013B,W01000761,1518,1392,126
2021,Swansea 013C,W01000762,1614,1534,80
2021,Swansea 015A,W01000763,1361,1286,75
2021,Swansea 015B,W01000764,1517,1426,91
2021,Swansea 015C,W01000765,1581,1477,104
2021,Swansea 015D,W01000766,1446,1359,87
2021,Swansea 015E,W01000767,1388,1326,62
2021,Swansea 032A,W01000768,1315,1224,91
2021,Swansea 032B,W01000769,1356,1273,83
2021,Swansea 032D,W01000770,1484,1392,92
2021,Swansea 032G,W01000771,1274,1178,96
2021,Swansea 018A,W01000772,1451,1326,125
2021,Swansea 005B,W01000774,1563,1378,185
2021,Swansea 030A,W01000775,1603,1497,106
2021,Swansea 030B,W01000776,1749,1583,166
2021,Swansea 012B,W01000777,1674,1518,156
2021,Swansea 012C,W01000778,1733,1571,162
2021,Swansea 012D,W01000779,1417,1273,144
2021,Swansea 032E,W01000781,1587,1445,142
2021,Swansea 032F,W01000782,1049,985,64
2021,Swansea 007A,W01000784,1263,1114,149
2021,Swansea 007B,W01000785,1718,1496,222
2021,Swansea 007C,W01000786,1229,1057,172
2021,Swansea 016C,W01000787,1396,1279,117
2021,Swansea 016D,W01000788,1438,1352,86
2021,Swansea 016E,W01000789,1368,1305,63
2021,Swansea 016F,W01000790,2618,2467,151
2021,Swansea 004A,W01000791,1377,1245,132
2021,Swansea 004B,W01000792,1536,1280,256
2021,Swansea 004C,W01000793,1813,1555,258
2021,Swansea 010A,W01000794,2135,1818,317
2021,Swansea 006A,W01000795,1524,1335,189
2021,Swansea 010B,W01000797,1475,1314,161
2021,Swansea 010C,W01000798,1383,1264,119
2021,Swansea 010D,W01000799,1783,1632,151
2021,Swansea 006C,W01000800,1425,1228,197
2021,Swansea 006D,W01000801,1666,1561,105
2021,Swansea 007D,W01000802,2284,2013,271
2021,Swansea 002F,W01000803,1778,1317,461
2021,Swansea 028C,W01000804,1404,1252,152
2021,Swansea 028D,W01000805,1118,1004,114
2021,Swansea 003A,W01000806,1367,1237,130
2021,Swansea 003B,W01000807,1267,1166,101
2021,Swansea 003C,W01000808,1362,1227,135
2021,Swansea 008A,W01000809,1463,1348,115
2021,Swansea 003D,W01000810,1303,1213,90
2021,Swansea 008B,W01000811,1347,1238,109
2021,Swansea 008C,W01000812,1409,1325,84
2021,Swansea 008D,W01000813,1531,1343,188
2021,Swansea 008E,W01000814,1382,1277,105
2021,Swansea 003E,W01000815,1463,1232,231
2021,Swansea 003F,W01000816,1726,1560,166
2021,Swansea 009A,W01000817,1877,1740,137
2021,Swansea 009B,W01000818,1447,1313,134
2021,Swansea 009C,W01000819,1410,1281,129
2021,Swansea 009D,W01000820,1352,1236,116
2021,Swansea 009E,W01000821,1431,1366,65
2021,Swansea 009F,W01000822,1171,1073,98
2021,Swansea 031A,W01000823,1789,1623,166
2021,Swansea 031B,W01000824,1625,1450,175
2021,Swansea 031C,W01000825,1247,1111,136
2021,Swansea 031D,W01000826,1236,1095,141
2021,Swansea 031E,W01000827,1227,1110,117
2021,Swansea 018B,W01000828,1607,1458,149
2021,Swansea 018C,W01000829,1873,1705,168
2021,Swansea 011A,W01000830,1696,1612,84
2021,Swansea 013D,W01000831,1668,1541,127
2021,Swansea 011B,W01000832,1522,1440,82
2021,Swansea 011C,W01000833,1567,1479,88
2021,Swansea 011D,W01000834,1393,1270,123
2021,Swansea 013E,W01000835,1405,1324,81
2021,Swansea 011E,W01000836,2280,2093,187
2021,Swansea 004D,W01000837,2238,1913,325
2021,Swansea 004E,W01000838,1225,1131,94
2021,Swansea 030C,W01000839,1027,932,95
2021,Swansea 030D,W01000840,1588,1447,141
2021,Swansea 005C,W01000841,1428,1301,127
2021,Swansea 005D,W01000842,1384,1251,133
2021,Swansea 005E,W01000843,1349,1185,164
2021,Swansea 005F,W01000844,1459,1320,139
2021,Swansea 001A,W01000845,1960,1492,468
2021,Swansea 001B,W01000846,1985,1550,435
2021,Swansea 001C,W01000847,1230,970,260
2021,Swansea 001D,W01000848,1168,1023,145
2021,Swansea 021A,W01000849,2119,1976,143
2021,Swansea 021C,W01000851,1564,1469,95
2021,Swansea 021D,W01000852,1432,1360,72
2021,Swansea 022A,W01000853,1634,1467,167
2021,Swansea 022B,W01000854,1462,1300,162
2021,Swansea 022C,W01000855,1390,1255,135
2021,Swansea 022D,W01000856,1696,1604,92
2021,Swansea 022E,W01000857,1873,1717,156
2021,Swansea 027A,W01000858,1603,1395,208
2021,Swansea 027B,W01000859,1376,1248,128
2021,Swansea 027C,W01000860,1503,1306,197
2021,Swansea 027D,W01000861,1930,1713,217
2021,Swansea 019A,W01000862,1492,1412,80
2021,Swansea 019B,W01000863,1561,1504,57
2021,Swansea 019C,W01000864,1568,1509,59
2021,Swansea 019D,W01000865,1367,1305,62
2021,Swansea 019E,W01000866,1134,1077,57
2021,Swansea 019F,W01000867,1238,1164,74
2021,Swansea 024B,W01000868,1066,934,132
2021,Swansea 024C,W01000869,1503,1347,156
2021,Swansea 024D,W01000870,1349,1209,140
2021,Swansea 026B,W01000871,1737,1591,146
2021,Swansea 024E,W01000872,1363,1168,195
2021,Swansea 026C,W01000873,1513,1368,145
2021,Swansea 024F,W01000874,1775,1569,206
2021,Swansea 026D,W01000875,1880,1713,167
2021,Swansea 026E,W01000876,1616,1435,181
2021,Swansea 007E,W01000877,1630,1395,235
2021,Swansea 007F,W01000878,1232,1076,156
2021,Swansea 029A,W01000879,1647,1474,173
2021,Swansea 029B,W01000880,1517,1368,149
2021,Swansea 029C,W01000881,1291,1186,105
2021,Swansea 029D,W01000882,1689,1557,132
2021,Neath Port Talbot 016A,W01000883,1300,1232,68
2021,Neath Port Talbot 017A,W01000884,1231,1163,68
2021,Neath Port Talbot 017B,W01000885,1406,1320,86
2021,Neath Port Talbot 017C,W01000886,1562,1495,67
2021,Neath Port Talbot 021C,W01000887,2316,2086,230
2021,Neath Port Talbot 004A,W01000888,2629,2146,483
2021,Neath Port Talbot 015A,W01000889,1762,1621,141
2021,Neath Port Talbot 015B,W01000890,1502,1407,95
2021,Neath Port Talbot 015C,W01000891,1403,1306,97
2021,Neath Port Talbot 015D,W01000892,1907,1758,149
2021,Neath Port Talbot 003A,W01000893,1871,1682,189
2021,Neath Port Talbot 013A,W01000894,1426,1315,111
2021,Neath Port Talbot 013B,W01000895,1421,1323,98
2021,Neath Port Talbot 013C,W01000896,1525,1383,142
2021,Neath Port Talbot 013D,W01000897,1279,1192,87
2021,Neath Port Talbot 014A,W01000898,1419,1268,151
2021,Neath Port Talbot 014B,W01000899,1817,1615,202
2021,Neath Port Talbot 014C,W01000900,1527,1398,129
2021,Neath Port Talbot 014D,W01000901,1616,1435,181
2021,Neath Port Talbot 006C,W01000904,1439,1294,145
2021,Neath Port Talbot 006D,W01000905,1451,1309,142
2021,Neath Port Talbot 007B,W01000907,1681,1551,130
2021,Neath Port Talbot 006E,W01000908,1555,1392,163
2021,Neath Port Talbot 009A,W01000909,1151,1079,72
2021,Neath Port Talbot 009B,W01000910,1339,1238,101
2021,Neath Port Talbot 009C,W01000911,1124,1017,107
2021,Neath Port Talbot 010A,W01000912,1169,1090,79
2021,Neath Port Talbot 010B,W01000913,1120,1017,103
2021,Neath Port Talbot 010C,W01000914,1598,1501,97
2021,Neath Port Talbot 010D,W01000915,1089,996,93
2021,Neath Port Talbot 010E,W01000916,1154,1054,100
2021,Neath Port Talbot 002A,W01000918,1884,1610,274
2021,Neath Port Talbot 020A,W01000919,1120,629,491
2021,Neath Port Talbot 021G,W01000921,1405,1338,67
2021,Neath Port Talbot 007C,W01000922,1540,1424,116
2021,Neath Port Talbot 003B,W01000925,1486,1292,194
2021,Neath Port Talbot 003C,W01000926,1798,1476,322
2021,Neath Port Talbot 020B,W01000927,1993,1591,402
2021,Neath Port Talbot 020C,W01000928,1544,905,639
2021,Neath Port Talbot 020D,W01000929,1223,832,391
2021,Neath Port Talbot 021F,W01000930,1111,1066,45
2021,Neath Port Talbot 020E,W01000931,1316,811,505
2021,Neath Port Talbot 019A,W01000932,1001,936,65
2021,Neath Port Talbot 019B,W01000933,1943,1748,195
2021,Neath Port Talbot 008A,W01000934,1205,1136,69
2021,Neath Port Talbot 008B,W01000935,1508,1414,94
2021,Neath Port Talbot 012A,W01000936,1327,1255,72
2021,Neath Port Talbot 013E,W01000937,1873,1717,156
2021,Neath Port Talbot 008C,W01000938,1356,1210,146
2021,Neath Port Talbot 008D,W01000939,1122,1054,68
2021,Neath Port Talbot 008E,W01000940,1228,1141,87
2021,Neath Port Talbot 012B,W01000941,1487,1373,114
2021,Neath Port Talbot 012C,W01000942,1735,1624,111
2021,Neath Port Talbot 012D,W01000943,1442,1291,151
2021,Neath Port Talbot 002B,W01000944,1145,1016,129
2021,Neath Port Talbot 014E,W01000945,1131,1010,121
2021,Neath Port Talbot 004B,W01000946,1751,1401,350
2021,Neath Port Talbot 004C,W01000947,2109,1691,418
2021,Neath Port Talbot 004D,W01000948,1777,1396,381
2021,Neath Port Talbot 018A,W01000949,1291,1187,104
2021,Neath Port Talbot 018B,W01000950,1417,1318,99
2021,Neath Port Talbot 018C,W01000951,1736,1610,126
2021,Neath Port Talbot 018D,W01000952,1135,1051,84
2021,Neath Port Talbot 021B,W01000953,1559,1407,152
2021,Neath Port Talbot 021A,W01000954,1312,1201,111
2021,Neath Port Talbot 004E,W01000955,1341,1092,249
2021,Neath Port Talbot 004F,W01000956,1172,1001,171
2021,Neath Port Talbot 017D,W01000957,1571,1481,90
2021,Neath Port Talbot 016B,W01000958,1513,1439,74
2021,Neath Port Talbot 017E,W01000959,1688,1572,116
2021,Neath Port Talbot 017F,W01000960,1719,1619,100
2021,Neath Port Talbot 016C,W01000961,1544,1442,102
2021,Neath Port Talbot 016D,W01000962,1487,1385,102
2021,Neath Port Talbot 016E,W01000963,1798,1700,98
2021,Neath Port Talbot 016F,W01000964,1755,1642,113
2021,Neath Port Talbot 002C,W01000965,1968,1646,322
2021,Neath Port Talbot 018E,W01000966,1401,1302,99
2021,Neath Port Talbot 019C,W01000967,1372,1317,55
2021,Neath Port Talbot 019D,W01000968,1906,1755,151
2021,Neath Port Talbot 009D,W01000969,1498,1347,151
2021,Neath Port Talbot 021D,W01000970,1079,992,87
2021,Neath Port Talbot 004G,W01000971,1357,1011,346
2021,Neath Port Talbot 020F,W01000973,1294,931,363
2021,Bridgend 006A,W01000974,2301,2114,187
2021,Bridgend 004A,W01000975,2165,2040,125
2021,Bridgend 003A,W01000976,1060,998,62
2021,Bridgend 003B,W01000977,1380,1283,97
2021,Bridgend 004B,W01000978,1725,1584,141
2021,Bridgend 015A,W01000979,1558,1430,128
2021,Bridgend 016A,W01000980,1303,1213,90
2021,Bridgend 016B,W01000981,1202,1094,108
2021,Bridgend 016C,W01000982,1393,1304,89
2021,Bridgend 015B,W01000983,1463,1328,135
2021,Bridgend 016D,W01000984,2103,1912,191
2021,Bridgend 015C,W01000985,1236,1136,100
2021,Bridgend 007A,W01000986,1617,1445,172
2021,Bridgend 007B,W01000987,2334,2169,165
2021,Bridgend 013A,W01000989,1530,1384,146
2021,Bridgend 017B,W01000990,1508,1414,94
2021,Bridgend 001A,W01000991,1104,1022,82
2021,Bridgend 001B,W01000992,1348,1268,80
2021,Bridgend 001C,W01000993,1315,1240,75
2021,Bridgend 001D,W01000994,1351,1257,94
2021,Bridgend 001E,W01000995,1326,1209,117
2021,Bridgend 008A,W01000996,1494,1386,108
2021,Bridgend 012A,W01000997,1653,1557,96
2021,Bridgend 010A,W01000999,1355,1257,98
2021,Bridgend 010B,W01001000,1686,1546,140
2021,Bridgend 010C,W01001001,1757,1609,148
2021,Bridgend 010D,W01001002,2338,2161,177
2021,Bridgend 015D,W01001003,1310,1223,87
2021,Bridgend 009A,W01001004,1014,926,88
2021,Bridgend 009B,W01001005,1558,1428,130
2021,Bridgend 009C,W01001006,2186,1982,204
2021,Bridgend 009D,W01001007,1829,1665,164
2021,Bridgend 011B,W01001008,2474,2257,217
2021,Bridgend 004C,W01001009,1208,1098,110
2021,Bridgend 012B,W01001010,1126,1059,67
2021,Bridgend 012C,W01001011,1246,1178,68
2021,Bridgend 005A,W01001012,1469,1266,203
2021,Bridgend 005B,W01001013,1437,1278,159
2021,Bridgend 002A,W01001014,1575,1436,139
2021,Bridgend 002B,W01001015,1423,1270,153
2021,Bridgend 005C,W01001016,1595,1463,132
2021,Bridgend 002C,W01001017,1426,1241,185
2021,Bridgend 002D,W01001018,1253,1114,139
2021,Bridgend 005D,W01001019,1539,1384,155
2021,Bridgend 002E,W01001020,1316,1201,115
2021,Bridgend 014A,W01001021,1558,1449,109
2021,Bridgend 014B,W01001022,1381,1301,80
2021,Bridgend 014C,W01001023,1607,1509,98
2021,Bridgend 003C,W01001024,1103,1033,70
2021,Bridgend 003D,W01001025,1195,1125,70
2021,Bridgend 012D,W01001026,1942,1817,125
2021,Bridgend 017C,W01001027,1461,1366,95
2021,Bridgend 014D,W01001028,1846,1687,159
2021,Bridgend 019A,W01001029,1684,1566,118
2021,Bridgend 019B,W01001030,1918,1781,137
2021,Bridgend 018A,W01001031,1443,1360,83
2021,Bridgend 018B,W01001032,1728,1607,121
2021,Bridgend 003E,W01001033,1701,1599,102
2021,Bridgend 003F,W01001034,1299,1206,93
2021,Bridgend 014E,W01001035,1689,1564,125
2021,Bridgend 017D,W01001036,1582,1402,180
2021,Bridgend 013B,W01001037,1763,1602,161
2021,Bridgend 011C,W01001038,2494,2310,184
2021,Bridgend 009E,W01001039,1661,1521,140
2021,Bridgend 009F,W01001040,1521,1417,104
2021,Bridgend 013C,W01001041,2240,2035,205
2021,Bridgend 004D,W01001042,1219,1076,143
2021,Bridgend 004E,W01001043,1132,1017,115
2021,Bridgend 019C,W01001044,1558,1486,72
2021,Bridgend 019D,W01001045,1668,1572,96
2021,Bridgend 018C,W01001046,1885,1782,103
2021,Bridgend 018D,W01001047,1633,1500,133
2021,Bridgend 008B,W01001048,1381,1298,83
2021,Bridgend 008C,W01001049,1258,1164,94
2021,Bridgend 008D,W01001050,1501,1376,125
2021,Bridgend 008E,W01001051,1764,1618,146
2021,Bridgend 008F,W01001052,1240,1164,76
2021,Bridgend 018E,W01001053,992,895,97
2021,Bridgend 018F,W01001054,1334,1242,92
2021,Bridgend 007C,W01001055,1164,1087,77
2021,Bridgend 007D,W01001056,1152,1076,76
2021,Bridgend 006B,W01001057,1679,1549,130
2021,Bridgend 006C,W01001058,1840,1671,169
2021,Vale of Glamorgan 015A,W01001059,1702,1470,232
2021,Vale of Glamorgan 015B,W01001060,1383,1212,171
2021,Vale of Glamorgan 013A,W01001062,1304,1127,177
2021,Vale of Glamorgan 012A,W01001063,1543,1408,135
2021,Vale of Glamorgan 013B,W01001064,1371,1253,118
2021,Vale of Glamorgan 012B,W01001065,1518,1341,177
2021,Vale of Glamorgan 015D,W01001066,1575,1401,174
2021,Vale of Glamorgan 009A,W01001067,1344,1242,102
2021,Vale of Glamorgan 009B,W01001068,1604,1490,114
2021,Vale of Glamorgan 012C,W01001069,1474,1370,104
2021,Vale of Glamorgan 009C,W01001070,993,929,64
2021,Vale of Glamorgan 009D,W01001071,1436,1324,112
2021,Vale of Glamorgan 009E,W01001072,2630,2339,291
2021,Vale of Glamorgan 015E,W01001073,2017,1856,161
2021,Vale of Glamorgan 004A,W01001075,1143,1012,131
2021,Vale of Glamorgan 004B,W01001076,1344,1229,115
2021,Vale of Glamorgan 004C,W01001077,1384,1264,120
2021,Vale of Glamorgan 004D,W01001078,1255,1106,149
2021,Vale of Glamorgan 012E,W01001079,1438,1295,143
2021,Vale of Glamorgan 012F,W01001080,1528,1395,133
2021,Vale of Glamorgan 007A,W01001081,1675,1523,152
2021,Vale of Glamorgan 002A,W01001082,1524,1337,187
2021,Vale of Glamorgan 002B,W01001083,1668,1447,221
2021,Vale of Glamorgan 002C,W01001084,1623,1436,187
2021,Vale of Glamorgan 002D,W01001085,1610,1408,202
2021,Vale of Glamorgan 006A,W01001086,1468,1291,177
2021,Vale of Glamorgan 006B,W01001087,1472,1327,145
2021,Vale of Glamorgan 006C,W01001088,2073,1900,173
2021,Vale of Glamorgan 006D,W01001089,1552,1422,130
2021,Vale of Glamorgan 006E,W01001090,1412,1264,148
2021,Vale of Glamorgan 010A,W01001091,1589,1442,147
2021,Vale of Glamorgan 007B,W01001092,2046,1815,231
2021,Vale of Glamorgan 013C,W01001093,1719,1556,163
2021,Vale of Glamorgan 007C,W01001094,1196,1084,112
2021,Vale of Glamorgan 007D,W01001095,1320,1198,122
2021,Vale of Glamorgan 007E,W01001096,1274,1159,115
2021,Vale of Glamorgan 007F,W01001097,1468,1365,103
2021,Vale of Glamorgan 010B,W01001098,1010,905,105
2021,Vale of Glamorgan 013D,W01001099,1165,1051,114
2021,Vale of Glamorgan 010C,W01001100,1452,1296,156
2021,Vale of Glamorgan 013E,W01001101,1473,1322,151
2021,Vale of Glamorgan 013F,W01001102,1467,1284,183
2021,Vale of Glamorgan 010D,W01001103,1150,1061,89
2021,Vale of Glamorgan 004E,W01001104,2039,1849,190
2021,Vale of Glamorgan 001A,W01001105,2757,2404,353
2021,Vale of Glamorgan 011A,W01001106,1417,1293,124
2021,Vale of Glamorgan 011B,W01001107,1476,1367,109
2021,Vale of Glamorgan 014A,W01001108,1756,1606,150
2021,Vale of Glamorgan 011C,W01001109,1345,1220,125
2021,Vale of Glamorgan 011D,W01001110,1661,1507,154
2021,Vale of Glamorgan 011E,W01001111,1314,1219,95
2021,Vale of Glamorgan 011F,W01001112,1279,1132,147
2021,Vale of Glamorgan 003A,W01001113,2262,1986,276
2021,Vale of Glamorgan 008A,W01001114,1545,1353,192
2021,Vale of Glamorgan 008B,W01001115,2100,1889,211
2021,Vale of Glamorgan 005A,W01001116,1905,1671,234
2021,Vale of Glamorgan 014B,W01001117,1263,1161,102
2021,Vale of Glamorgan 003B,W01001119,1817,1625,192
2021,Vale of Glamorgan 014D,W01001120,1320,1201,119
2021,Vale of Glamorgan 014E,W01001121,1659,1529,130
2021,Vale of Glamorgan 014F,W01001122,2369,2181,188
2021,Vale of Glamorgan 005B,W01001123,1447,1297,150
2021,Vale of Glamorgan 005C,W01001124,1419,1265,154
2021,Vale of Glamorgan 005D,W01001125,1387,1244,143
2021,Vale of Glamorgan 001B,W01001127,1589,1423,166
2021,Vale of Glamorgan 001C,W01001128,1638,1477,161
2021,Vale of Glamorgan 004F,W01001129,1598,1445,153
2021,Vale of Glamorgan 005F,W01001130,1240,1090,150
2021,Vale of Glamorgan 008C,W01001131,1650,1493,157
2021,Vale of Glamorgan 008D,W01001132,1307,1194,113
2021,Vale of Glamorgan 008E,W01001133,2187,2005,182
2021,Vale of Glamorgan 008F,W01001134,1087,985,102
2021,Vale of Glamorgan 003C,W01001135,2240,1989,251
2021,Vale of Glamorgan 003D,W01001136,1465,1330,135
2021,Rhondda Cynon Taf 005A,W01001137,2291,2120,171
